outcode,county
CV1,Warwickshire
CV10,Warwickshire
CV11,Warwickshire
CV12,Warwickshire
CV13,Leicestershire
CV2,Warwickshire
CV21,Warwickshire
CV22,Warwickshire
CV23,Warwickshire
CV3,Warwickshire
CV31,Warwickshire
CV32,Warwickshire
CV33,Warwickshire
CV34,Warwickshire
CV35,Warwickshire
CV36,Warwickshire
CV37,Warwickshire
CV4,Warwickshire
CV47,Warwickshire
CV5,Warwickshire
CV6,Warwickshire
CV7,Warwickshire
CV8,Warwickshire
CV9,Warwickshire
CW1,Cheshire
CW10,Cheshire
CW11,Cheshire
CW12,Cheshire
CW2,Cheshire
CW3,Cheshire
CW4,Cheshire
CW5,Cheshire
CW6,Cheshire
CW7,Cheshire
CW8,Cheshire
CW9,Cheshire
CW98,Cheshire
DA1,Kent
DA10,Kent
DA11,Kent
DA12,Kent
DA13,Kent
DA14,Kent
DA15,Kent
DA16,Kent
DA17,Kent
DA18,Kent
DA2,Kent
DA3,Kent
DA4,Kent
DA5,Kent
DA6,Kent
DA7,Kent
DA8,Kent
DA9,Kent
DD1,Angus
DD10,Kincardineshire
DD11,Angus
DD2,Angus
DD3,Angus
DD4,Angus
DD5,Angus
DD6,Fife
DD7,Angus
DD8,Angus
DD9,Angus
DE1,Derbyshire
DE11,Derbyshire
DE12,Leicestershire
DE13,Staffordshire
DE14,Staffordshire
DE15,Derbyshire
DE21,Derbyshire
DE22,Derbyshire
DE23,Derbyshire
DE24,Derbyshire
DE3,Derbyshire
DE4,Derbyshire
DE45,Derbyshire
DE5,Derbyshire
DE55,Derbyshire
DE56,Derbyshire
DE6,Derbyshire
DE65,Derbyshire
DE7,Derbyshire
DE72,Derbyshire
DE73,Derbyshire
DE74,Leicestershire
DE75,Derbyshire
DE99,Derbyshire
DG1,Dumfriesshire
DG10,Dumfriesshire
DG11,Dumfriesshire
DG12,Dumfriesshire
DG13,Dumfriesshire
DG14,Dumfriesshire
DG16,Dumfriesshire
DG2,Kirkcudbrightshire
DG3,Dumfriesshire
DG4,Dumfriesshire
DG5,Kirkcudbrightshire
DG6,Kirkcudbrightshire
DG7,Kirkcudbrightshire
DG8,Wigtownshire
DG9,Wigtownshire
DH1,Durham
DH2,Durham
DH3,Durham
DH4,Durham
DH5,Durham
DH6,Durham
DH7,Durham
DH8,Durham
DH9,Durham
DH97,Durham
DH98,Durham
DH99,Durham
DL1,Durham
DL10,Yorkshire
DL11,Yorkshire
DL12,Durham
DL13,Durham
DL14,Durham
DL15,Durham
DL16,Durham
DL17,Durham
DL2,Durham
DL3,Durham
DL4,Durham
DL5,Durham
DL6,Yorkshire
DL7,Yorkshire
DL8,Yorkshire
DL9,Yorkshire
DL98,Durham
DN1,Yorkshire
DN10,Nottinghamshire
DN11,Yorkshire
DN12,Yorkshire
